Game #,Point Differential,Point Differential Mean
1,-21,-21
2,-21,-21
3,-21,-21
4,-21,-21
5,-21,-21
6,-20,-20.83333333
7,-21,-20.85714286
8,-21,-20.875
9,-21,-20.88888889
10,-20,-20.8
11,-20,-20.72727273
12,-20,-20.66666667
13,-21,-20.69230769
14,-21,-20.71428571
15,-20,-20.66666667
16,-20,-20.625
17,-21,-20.64705882
18,-20,-20.61111111
19,-20,-20.57894737
20,-20,-20.55
21,-21,-20.57142857
22,-21,-20.59090909
23,-20,-20.56521739
24,-20,-20.54166667
25,-20,-20.52
26,-20,-20.5
27,-20,-20.48148148
28,-21,-20.5
29,-20,-20.48275862
30,-21,-20.5
31,-19,-20.4516129
32,-21,-20.46875
33,-20,-20.45454545
34,-20,-20.44117647
35,-21,-20.45714286
36,-20,-20.44444444
37,-20,-20.43243243
38,-18,-20.36842105
39,-21,-20.38461538
40,-21,-20.4
41,-21,-20.41463415
42,-20,-20.4047619
43,-20,-20.39534884
44,-20,-20.38636364
45,-20,-20.37777778
46,-19,-20.34782609
47,-20,-20.34042553
48,-21,-20.35416667
49,-21,-20.36734694
50,-21,-20.38
51,-20,-20.37254902
52,-20,-20.36538462
53,-21,-20.37735849
54,-21,-20.38888889
55,-18,-20.34545455
56,-20,-20.33928571
57,-21,-20.35087719
58,-20,-20.34482759
59,-19,-20.3220339
60,-20,-20.31666667
61,-21,-20.32786885
62,-21,-20.33870968
63,-21,-20.34920635
64,-20,-20.34375
65,-21,-20.35384615
66,-21,-20.36363636
67,-20,-20.35820896
68,-21,-20.36764706
69,-20,-20.36231884
70,-20,-20.35714286
71,-20,-20.35211268
72,-21,-20.36111111
73,-20,-20.35616438
74,-20,-20.35135135
75,-21,-20.36
76,-21,-20.36842105
77,-21,-20.37662338
78,-21,-20.38461538
79,-19,-20.36708861
80,-20,-20.3625
81,-21,-20.37037037
82,-20,-20.36585366
83,-20,-20.36144578
84,-21,-20.36904762
85,-20,-20.36470588
86,-21,-20.37209302
87,-20,-20.36781609
88,-21,-20.375
89,-20,-20.37078652
90,-20,-20.36666667
91,-21,-20.37362637
92,-21,-20.38043478
93,-20,-20.37634409
94,-21,-20.38297872
95,-20,-20.37894737
96,-20,-20.375
97,-20,-20.37113402
98,-21,-20.37755102
99,-18,-20.35353535
100,-17,-20.32
101,-20,-20.31683168
102,-20,-20.31372549
103,-20,-20.31067961
104,-20,-20.30769231
105,-20,-20.3047619
106,-21,-20.31132075
107,-21,-20.31775701
108,-21,-20.32407407
109,-21,-20.33027523
110,-20,-20.32727273
111,-20,-20.32432432
112,-21,-20.33035714
113,-21,-20.33628319
114,-21,-20.34210526
